chapterTitle,summary,implementationSteps,example
Objective,,,
Disclosure Requirement S1-1 - Policies related to own workforce,,"Simplify the company's workforce policies | Explain how these policies manage impacts, risks, and opportunities | Describe the company's commitment to human rights and labor standards | State if policies address specific issues like trafficking and workplace safety | Detail any policies promoting non-discrimination and inclusion | Mention changes to policies and how they relate to environmental efforts | Provide examples of how policies are communicated and implemented",
Disclosure Requirement S1-2 - Processes for engaging with own workforce and workers’ representatives about impacts,,"Understand the company's methods for talking with its employees and their representatives about how the company's actions affect them | Explain why it's important for the company to have these discussions as part of its regular checks | Describe if and how the company uses its employees' views to guide its decisions, especially when managing issues that affect them | List specific details like who talks to the employees, when and how often these talks happen, and any agreements that help understand the employees' views | Mention how the company checks if these talks are working and any special attention given to employees who might be more affected or left out | If the company doesn't have a way to talk with its employees yet, it should say so and maybe give a timeline for when it will | Share examples of how employee feedback has changed company decisions and any plans for talking about the effects of becoming more environmentally friendly.",
Disclosure Requirement S1-3 - Processes to remediate negative impacts and channels for own workforce to raise concerns,,"Summarize the company's methods for addressing workforce issues | Explain how employees can voice concerns and how these are managed | Describe the effectiveness of remedies for negative impacts on employees | List specific channels for raising concerns within the company | Detail how the company monitors and ensures the effectiveness of these channels | State if employees are aware and trust the processes for addressing concerns | Mention any protection policies for individuals using these channels | If no channels exist, disclose this and any plans to implement them | Refer to international guidelines and principles for further guidance on grievance mechanisms.",
"Disclosure Requirement S1-4 - Taking action on material impacts on own workforce, and approaches to managing material risks and pursuing material opportunities related to own workforce, and effectiveness of those actions",,Simplify the language | Break down complex sentences | Use everyday words | Explain the purpose | Provide examples | Clarify the actions | Highlight the outcomes,
"Disclosure Requirement S1-5 - Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities",,"Understand the goals | Recognize the focus on reducing negative effects, boosting positive outcomes, and managing risks for the workforce | Note the importance of clear, time-specific goals for progress measurement | Look for details on how goals were set and workforce involvement | Check for information on the expected benefits for the workforce | See if there are different goals for short, medium, and long-term plans | Look for explanations if goals change, linked to business or legal shifts.",
Disclosure Requirement S1-6 - Characteristics of the undertaking’s employees,,Simplify the text about employee information | Explain the purpose of sharing this data | List what details companies must share | Describe how to count different types of employees | Mention when and how to report the numbers | Include why understanding the number of employees in different categories is important | State that companies should provide explanations for any estimates used,
Disclosure Requirement S1-7 - Characteristics of non-employees in the undertaking’s own workforce,,"The company needs to report on the people who work for them but aren't official employees | This includes freelancers and workers from staffing agencies | They must count how many such workers they have and explain how they did the counting | They should also say if they're using estimates and how they came up with those estimates | The report should include why the number of these workers might change a lot during the year | If they don't have any non-employees, they should just say so | The goal is to give a clear picture of how the company uses non-employee labor.",
Disclosure Requirement S1-8 - Collective bargaining coverage and social dialogue,,Understand the company's employee agreements | Know the percentage of employees under collective bargaining | Check if European employees have collective bargaining | Calculate the coverage outside Europe | Consider non-employee agreements | Learn about employee representation in social dialogue | Use formulas to calculate percentages | Report the required information clearly.,
Disclosure Requirement S1-9 - Diversity metrics,,Understand what information needs to be shared | Simplify the language and structure | Break down complex sentences into simpler ones | Replace technical terms with everyday language | Organize the information in a clear and logical order | Check for clarity and ease of understanding | Make sure the final text conveys the same message as the original.,
Disclosure Requirement S1-10 - Adequate wages,,"Start by stating if all employees are paid fairly according to set standards | If not, list the countries and the percentage of employees not paid fairly | Mention that no extra details are needed if everyone is paid fairly | If some are underpaid, provide the countries and percentages for each | Include similar wage information for non-employees if relevant | Calculate the lowest wage based on basic pay plus guaranteed extras, excluding interns and apprentices, and do this for each country | Use the correct wage benchmarks: for the EEA, the EU minimum wage directive or other standards until it applies, and for outside the EEA, use international, national, or agreed benchmarks, ensuring they support a decent living standard.",
Disclosure Requirement S1-11 - Social protection,,"Start by stating if the company ensures its workers have financial protection for major life events | Mention if all employees have this protection through government programs or company benefits | List the life events covered, like illness, job loss, work-related injuries, parental leave, and retirement | If all employees are protected, just say so—no more details needed | If not, specify which countries lack this protection and for which life events | Identify the types of workers in those countries who don't have protection for each event | Optionally, include information about non-employees who also receive such protections | Explain that social protection includes healthcare access and income support during tough times like unemployment, sickness, childcare, or retirement.",
Disclosure Requirement S1-12 - Persons with disabilities,,"Start by stating the company's commitment to transparency | Explain that the company will report the proportion of employees who have disabilities | Mention that this reporting helps to show how inclusive the company is | Note that the company will only share data where it's legally allowed | Add that the company might also share this data by gender | When sharing disability data, the company will include explanations to make the numbers clear, like how different countries define disability.",
Disclosure Requirement S1-13 - Training and skills development metrics,,"Simplify the company's training and employee development information | Explain how often employees receive training and how it helps their careers | Show the percentage of employees who get performance and career reviews, with details by gender | Report the average training hours each employee gets, also detailed by gender | Companies can choose to provide additional details by job type or for non-employees | Define what counts as a regular performance review | Use specific employee numbers from a previous report to calculate and report these figures | Break down employees into meaningful groups to show different performance levels.",
Disclosure Requirement S1-14 - Health and safety metrics,,"Understand the company's health and safety policies | Gather data on work-related injuries, illnesses, and deaths | Separate information for employees and non-employees | Calculate the percentage of the workforce covered by health and safety systems | Report the number of accidents and rate of incidents | Include additional details on internal or external health and safety audits | Clarify what is considered work-related and what is not | Explain how to compute injury rates and lost workdays | Disclose any work-related mental health issues | Include occupational diseases in the health reports | Count all days lost due to work-related health issues, including non-workdays.",
Disclosure Requirement S1-15 - Work-life balance metrics,,"Start by explaining the company's policy on family leave | Mention the percentage of employees who can take family-related leave | Include the percentage of those who actually took the leave, with a gender breakdown | State if all employees have leave rights through social policy or agreements, this meets the reporting requirement | Define family-related leave as maternity, paternity, parental, and carers' leave according to national law or agreements | Clarify that entitled employees are those covered by regulations or agreements known to the company.",
Disclosure Requirement S1-16 - Remuneration metrics (pay gap and total remuneration),,Translate the company's policy on gender pay differences | Explain how much more or less women earn compared to men | Describe how the top earner's pay compares to the average worker | Include any extra details that help understand these numbers | Break down the pay gap by job type or country if needed | Adjust the top earner's pay comparison for cost of living differences in different countries | Show how these numbers were calculated and provide background information.,
"Disclosure Requirement S1-17 - Incidents, complaints and severe human rights impacts",,Translate complex information into simple language | Break down long sentences into shorter ones | Use everyday words and phrases | Explain technical terms or replace them with common words | Organize information into clear categories | Provide examples if necessary | Summarize the main points at the end,
